Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,10nF,
C2,C_Rect_L4.0mm_W2.5mm_P2.50mm,1,10nF,
"D1, D2",LED_D3.0mm,2,LED,
IC1,DIP-8_W7.62mm_LongPads,1,LM555xN,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K8,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,120,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100K,
"SW1, SW2",Saia-Burgess_F4T7-UL,2,Saia-Burgess_F4T7-UL,
"SW3, SW4, SW5, SW6",Saia-Burgess_F4T7-UL_lying,4,Saia-Burgess_F4T7-UL,
SW7,EG2308,1,E-Switch EG 2308A,
